linea,estacion,afluencia_media,afluencia_std,proporcion_prepago,proporcion_gratuidad,proporcion_boleto,nivel_saturacion_medio
5,VALLE GOMEZ,3578.479958890031,1015.9137677001796,0.6658010353315557,0.13890106884814873,0.19529789582029558,1.2995889003083247
6,DEPORTIVO 18 DE MARZO,1186.4373072970195,444.29605154069094,0.6755896610360413,0.195081366550384,0.1293289724135747,1.2980472764645425
6,EL ROSARIO,12535.052415210688,4366.459991209675,0.7135225877248665,0.1268638409193135,0.15961357135582005,1.2995889003083247
6,FERRERIA/ARENA CIUDAD DE MEXICO,16347.962487153134,7508.18449777153,0.7706215976150325,0.09517065642742649,0.13420774595754098,1.2995889003083247
6,INSTITUTO DEL PETROLEO,2343.640287769784,1037.846114522787,0.7970941344326289,0.08796203293526883,0.11494383263210226,1.2995889003083247
6,LA VILLA/BASILICA,9480.20349434738,2855.902231429486,0.6732221368328306,0.1433518235336141,0.18342603963355542,1.2995889003083247
6,LINDAVISTA,12354.916752312436,5618.841068811465,0.7595147853526558,0.09594044016551523,0.14454477448182892,1.2995889003083247
6,MARTIN CARRERA,20631.534429599178,7712.437456265609,0.7686401434958728,0.12355348627142143,0.10780637023270578,1.2990750256937307
6,NORTE 45,5218.927029804728,2051.9198165352605,0.7508028178704663,0.08440389620198686,0.16479328592754677,1.2990750256937307
6,TEZOZOMOC,4582.105344295992,1449.1099563192424,0.7144645606114799,0.12521224764476838,0.1603231917437517,1.2990750256937307
6,UAM-AZCAPOTZALCO,6097.77852004111,1856.1139463324294,0.6999662586100338,0.1504520392653737,0.14958170212459246,1.2990750256937307
6,VALLEJO,6403.422918807811,2150.5283565457466,0.792680577203436,0.052219061737459854,0.15510036105910416,1.2980472764645425
7,AQUILES SERDAN,9678.476875642344,3709.1770143987032,0.8181508224568167,0.13890337778458048,0.04294579975860285,1.2985611510791366
7,AUDITORIO,23971.03494347379,11811.822396296748,0.7861312739055001,0.10196743778399742,0.1119012883105025,1.2995889003083247
7,BARRANCA DEL MUERTO,27387.411099691675,11505.610362221552,0.7952880816716631,0.09385649627909345,0.11085542204924338,1.2995889003083247
7,CAMARONES,10810.926515930112,3448.130361734094,0.7671865617500981,0.11725605917422954,0.1155573790756723,1.2985611510791366
7,CONSTITUYENTES,8217.768242548818,4977.043766557613,0.7704838485065441,0.13927362883409278,0.0902425226593632,1.2995889003083247
7,EL ROSARIO,23294.893114080165,7619.213501967876,0.7689463341812313,0.10326079712469782,0.12779286869407086,1.2995889003083247
7,MIXCOAC,17686.908016443987,5342.32167367864,0.7346896429642085,0.1207744546461147,0.14453590238967678,1.2995889003083247
7,POLANCO,26520.053956834534,12843.562730368598,0.90277016107159,0.08427766144281311,0.012952177485596914,1.2995889003083247
7,REFINERIA,9421.846351490236,3735.154115957363,0.6823364727909612,0.09893018755883148,0.21873333965020725,1.2995889003083247
7,SAN ANTONIO,9217.984069886948,3285.7001947721924,0.7757203326381231,0.09546810594893988,0.128811561412937,1.2995889003083247
7,SAN JOAQUIN,18842.546248715313,7827.848802856318,0.7973716421483233,0.0985481032125567,0.10408025463911988,1.2995889003083247
7,SAN PEDRO DE LOS PINOS,9127.376156217882,3629.9357896304305,0.7425973236182328,0.12474262774093917,0.132660048640828,1.2995889003083247
7,TACUBA,6778.649023638232,1869.856177921068,0.6742020691590587,0.16099161017291475,0.16480632066802658,1.2995889003083247
7,TACUBAYA,5058.359712230216,1745.5372128783574,0.6852271010384354,0.17940810253972966,0.13536479642183485,1.2995889003083247
8,ACULCO,7746.808324768756,2173.958044011767,0.6565628063517238,0.14634575370136332,0.19709143994691286,1.2990750256937307
8,APATLACO,10605.358170606372,2089.650270656075,0.7037818953864365,0.12471614419158955,0.17150196042197394,1.2995889003083247
8,ATLALILCO,13487.034429599178,3491.713482084888,0.69890417659611,0.15256487602952828,0.14853094737436168,1.2995889003083247
8,BELLAS ARTES,16438.41161356629,4514.975015078751,0.7151467587823926,0.13185681635292307,0.15299642486468432,1.2995889003083247
8,CERRO DE LA ESTRELLA,9458.889003083248,2566.0202150356413,0.6690068694009464,0.1547158174057134,0.1762773131933401,1.2995889003083247
8,CHABACANO,3442.8540596094554,1056.3864469123098,0.6977473873190254,0.20492669497173768,0.09732591770923699,1.2995889003083247
8,CONSTITUCION DE 1917,84625.83401849949,26372.286387738703,0.7941083638047237,0.11697883024080331,0.08891280595447304,1.2995889003083247
8,COYUYA,21443.887461459402,6596.629367955799,0.8029132201320281,0.09485069626148139,0.10223608360649042,1.2995889003083247
8,DOCTORES,9742.398766700924,3387.7372474662116,0.6871031396584194,0.18579724550339133,0.1270996148381893,1.2990750256937307
8,ESCUADRON 201,17518.15005138746,5201.548273369959,0.7105392258617653,0.1314035232227298,0.1580572509155049,1.2995889003083247
8,GARIBALDI/LAGUNILLA,15710.720966084275,4505.493265537287,0.7381922494908365,0.16090071313800192,0.10090703737116154,1.2995889003083247
8,IZTACALCO,14875.909558067831,4431.799368218858,0.7119387391146966,0.1225934434033943,0.16546781748190917,1.2995889003083247
8,IZTAPALAPA,8883.566803699898,2077.2997691740493,0.6013889545022689,0.15856560862490673,0.24004543687282429,1.2995889003083247
8,LA VIGA,5862.5950668037,1360.4033707178467,0.6481449224950211,0.18212637879025323,0.16972869871472568,1.2990750256937307
8,OBRERA,11185.753854059609,2941.067940194717,0.6662021953101938,0.1909395238909777,0.1428582807988285,1.2995889003083247
8,SALTO DEL AGUA,14636.256937307297,6638.875960529487,0.6762345521670854,0.16601712420617526,0.15774832362673924,1.2995889003083247
8,SAN JUAN DE LETRAN,21800.61305241521,5609.571153326304,0.7093562622095695,0.11537679072190239,0.17526694706852813,1.2995889003083247
